0 0 0
2 2 2
4 4 4
6 6 6
8 8 8
10 10 10
12 12 12
14 14 14
16 16 16
18 18 18
20 20 20
22 22 22
24 24 24
26 26 26
28 28 28
30 30 30
32 32 32
34 34 34
36 36 36
38 38 38
45 55 58
45 55 86
45 55 114
45 55 142
45 55 170
45 55 198
45 55 226
45 55 254
45 80 58
45 80 86
45 80 114
45 80 142
45 80 170
45 80 198
45 80 226
45 80 254
45 105 58
45 105 86
45 105 114
45 105 142
45 105 170
45 105 198
45 105 226
45 105 254
45 130 58
45 130 86
45 130 114
45 130 142
45 130 170
45 130 198
45 130 226
45 130 254
45 155 58
45 155 86
45 155 114
45 155 142
45 155 170
45 155 198
45 155 226
45 155 254
45 180 58
45 180 86
45 180 114
45 180 142
45 180 170
45 180 198
45 180 226
45 180 254
45 205 58
45 205 86
45 205 114
45 205 142
45 205 170
45 205 198
45 205 226
45 205 254
45 230 58
45 230 86
45 230 114
45 230 142
45 230 170
45 230 198
45 230 226
45 230 254
45 255 58
45 255 86
45 255 114
45 255 142
45 255 170
45 255 198
45 255 226
45 255 254
60 55 58
60 55 86
60 55 114
60 55 142
60 55 170
60 55 198
60 55 226
60 55 254
60 80 58
60 80 86
60 80 114
60 80 142
60 80 170
60 80 198
60 80 226
60 80 254
60 105 58
60 105 86
60 105 114
60 105 142
60 105 170
60 105 198
60 105 226
60 105 254
60 130 58
60 130 86
60 130 114
60 130 142
60 130 170
60 130 198
60 130 226
60 130 254
60 155 58
60 155 86
60 155 114
60 155 142
60 155 170
60 155 198
60 155 226
60 155 254
60 180 58
60 180 86
60 180 114
60 180 142
60 180 170
60 180 198
60 180 226
60 180 254
60 205 58
60 205 86
60 205 114
60 205 142
60 205 170
60 205 198
60 205 226
60 205 254
60 230 58
60 230 86
60 230 114
60 230 142
60 230 170
60 230 198
60 230 226
60 230 254
60 255 58
60 255 86
60 255 114
60 255 142
60 255 170
60 255 198
60 255 226
60 255 254
75 55 58
75 55 86
75 55 114
75 55 142
75 55 170
75 55 198
75 55 226
75 55 254
75 80 58
75 80 86
75 80 114
75 80 142
75 80 170
75 80 198
75 80 226
75 80 254
75 105 58
75 105 86
75 105 114
75 105 142
75 105 170
75 105 198
75 105 226
75 105 254
75 130 58
75 130 86
75 130 114
75 130 142
75 130 170
75 130 198
75 130 226
75 130 254
75 155 58
75 155 86
75 155 114
75 155 142
75 155 170
75 155 198
75 155 226
75 155 254
75 180 58
75 180 86
75 180 114
